х,о,н,а,н,д,а,&,х,о,н,а,н,о,д,а,#,х,о,н,а,н,о,д,а,$,N,SG	х,о,н,а,н,д,а
п,а,р,р,а,н,д,а,&,н,а,р,ҳ,ҳ,а,н,д,а,#,н,а,р,ҳ,ҳ,а,н,д,а,$,N,SG	п,а,р,р,а,н,д,а
п,у,л,&,п,и,л,#,п,и,л,$,N,NDEF,SG	п,у,л
а,в,г,у,с,т,&,г,у,с,#,г,у,с,$,N,NDEF,SG	а,в,г,у,с,т
б,о,л,&,с,о,л,#,с,о,л,$,N,NDEF,SG	б,о,л
с,а,г,&,с,а,т,#,с,а,т,$,N,NDEF,SG	с,а,г
д,у,ш,м,а,н,&,д,ш,н,#,д,ш,н,$,N,NDEF,SG	д,у,ш,м,а,н
т,о,ҷ,и,к,&,ф,о,ҷ,о,х,#,ф,о,ҷ,о,х,$,N,SG	т,о,ҷ,и,к
т,о,ҷ,и,к,&,т,о,ҷ,и,к,#,т,о,ҷ,и,к,$,N,PL	т,о,ҷ,и,к,о,н
м,а,й,&,м,а,ҳ,#,м,а,ҳ,$,N,NDEF,SG	м,а,й
з,а,р,&,д,а,р,#,д,а,р,$,N,NDEF,SG	з,а,р
г,у,л,&,г,о,л,#,г,о,л,$,N,NDEF,SG	г,у,л
м,о,д,а,р,&,д,а,р,#,д,а,р,$,N,NDEF,SG	м,о,д,а,р
б,а,н,д,а,&,б,а,д,а,н,#,б,а,д,а,н,$,N,NDEF,SG	б,а,н,д,а
ф,у,т,б,о,л,&,ф,у,т,#,ф,у,т,$,N,NDEF,SG	ф,у,т,б,о,л
с,а,м,ъ,&,н,а,м,#,н,а,м,$,N,NDEF,SG	с,а,м,ъ
